region,city,state,popsize,pop_est,white_nonhi,black,asian,hisp_lat,mayor_party,gov_party,cong_maj,hc_demo,minor_pop_est,white_pop_est,black_pop_est,asian_pop_est,hisp_lat_pop_est,minor_pop_ratio,white_pop_ratio,black_pop_ratio,asian_pop_ratio,hisp_lat_pop_ratio
northeast,New York City,New York,1M+,8336817,0.32,0.243,0.141,0.291,Democrat,Democrat,Democrat,90.0,5627351.475000001,2667781.44,2025846.531,1175491.197,2426013.747,0.675,0.32,0.243,0.141,0.291
west,Los Angeles,California,1M+,3979576,0.29,0.089,0.116,0.485,Democrat,Democrat,Democrat,118.0,2745907.44,1154077.0399999998,354182.26399999997,461630.81600000005,1930094.3599999999,0.69,0.2899999999999999,0.089,0.116,0.485
midwest,Chicago,Illinois,1M+,2693976,0.33,0.296,0.066,0.288,Democrat,Democrat,Democrat,18.0,1751084.3999999997,889012.0800000001,797416.896,177802.416,775865.088,0.6499999999999999,0.33,0.296,0.066,0.288
southwest,Houston,Texas,1M+,2320268,0.24,0.226,0.068,0.45,Democrat,Republican,Republican,13.0,1726279.392,556864.32,524380.568,157778.22400000002,1044120.6,0.744,0.24,0.22599999999999998,0.068,0.45
west,Phoenix,Arizona,1M+,1680992,0.43,0.071,0.038,0.426,Democrat,Republican,Democrat,111.0,899330.7199999999,722826.5599999999,119350.43199999999,63877.695999999996,716102.592,0.5349999999999999,0.42999999999999994,0.071,0.038,0.426
northeast,Philadelphia,Pennsylvania,1M+,1584064,0.35,0.421,0.072,0.147,Democrat,Democrat,Democrat,7.0,1013800.9600000001,554422.3999999999,666890.944,114052.608,232857.408,0.64,0.3499999999999999,0.421,0.072,0.147
southwest,San Antonio,Texas,1M+,1547253,0.25,0.07,0.028,0.642,Independent,Republican,Republican,5.0,1144967.22,386813.25,108307.71,43323.084,993336.426,0.74,0.25,0.07,0.028,0.642
west,San Diego,California,1M+,1423851,0.43,0.064,0.167,0.303,Democrat,Democrat,Democrat,8.0,760336.434,612255.9299999999,91126.464,237783.11700000003,431426.853,0.534,0.42999999999999994,0.064,0.167,0.303
southwest,Dallas,Texas,1M+,1343573,0.29,0.243,0.034,0.418,Democrat,Republican,Republican,13.0,933783.2350000001,389636.17,326488.239,45681.482,561613.514,0.6950000000000001,0.29,0.243,0.034,0.418
west,San Jose,California,1M+,1021795,0.26,0.03,0.359,0.316,Democrat,Democrat,Democrat,13.0,720365.4750000001,265666.7,30653.85,366824.40499999997,322887.22000000003,0.7050000000000001,0.26,0.03,0.359,0.316
southwest,Austin,Texas,"500k-999,999",978908,0.48,0.078,0.076,0.339,Democrat,Republican,Republican,5.0,482601.644,469875.83999999997,76354.824,74397.008,331849.81200000003,0.493,0.48,0.078,0.076,0.339
southeast,Jacksonville,Florida,"500k-999,999",911507,0.51,0.31,0.048,0.1,Republican,Republican,Republican,4.0,417470.20599999995,464868.57,282567.17,43752.336,91150.70000000001,0.45799999999999996,0.51,0.31,0.048,0.10000000000000002
southwest,Fort Worth,Texas,"500k-999,999",909585,0.39,0.189,0.046,0.351,Republican,Republican,Republican,8.0,533016.8099999999,354738.15,171911.565,41840.909999999996,319264.33499999996,0.586,0.39,0.189,0.046,0.351
midwest,Columbus,Ohio,"500k-999,999",898553,0.55,0.29,0.058,0.062,Democrat,Republican,Republican,35.0,368406.73,494204.15,260580.37,52116.074,55710.286,0.41,0.55,0.29,0.058,0.062
southeast,Charlotte,North Carolina,"500k-999,999",885708,0.42,0.352,0.065,0.143,Democrat,Democrat,Republican,,495996.4799999999,371997.36,311769.21599999996,57571.020000000004,126656.24399999999,0.5599999999999999,0.42,0.3519999999999999,0.065,0.143
